Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP
2023,10X GENOMICS INC,0,0,1,0,54,4458,CA,PLEASANTON,94588
2023,12TH WONDER LLC,0,0,3,0,54,2548,CA,PLEASANTON,94588
2023,1661 INC D B A GOAT,0,0,5,0,45,1406,CA,LOS ANGELES,90018
2023,19SIX ARCHITECTS,0,0,1,0,54,,CA,SAN LUIS OBISPO,93401
2023,1LIFE HEALTHCARE INC,1,0,1,0,62,7204,CA,SAN FRANCISCO,94111
2023,1NTEGER LLC D/B/A KHARON,0,0,1,0,51,6378,CA,SANTA MONICA,90403
2023,21 STAFF LLC,0,0,3,0,54,3144,CA,PLEASANTON,94588
2023,21ST CENTURY HOME HEALTH SERVICES INC,0,0,2,0,62,4981,CA,BURLINGAME,94010
2023,23ANDME INC,0,0,5,0,62,7371,CA,SUNNYVALE,94086
2023,24 7 AI INC,0,0,2,0,54,9939,CA,CAMPBELL,95008
2023,2401FOREVER LLC,0,0,1,0,45,5512,CA,CUPERTINO,95014
2023,2DREAM INC,0,1,0,0,54,1173,CA,FREMONT,94538
2023,2GO PRODUCTS LLC,0,0,1,0,45,2270,CA,SAN DIEGO,92122
2023,2K GAMES INC,0,0,1,0,51,1726,CA,SAN MATEO,94403
2023,314E CORPORATION,1,0,1,0,54,2992,CA,PLEASANTON,94566
2023,317 LABS INC DBA EMOTIVE,0,0,1,0,54,1122,CA,WEST HOLLYWOOD,90069
2023,3DI INC DBA 3DI SYSTEMS,0,0,3,0,54,7719,CA,BREA,92821
2023,3E COMPANY ENVIRONMENTAL ECOLOGICAL AND ENGINEERING DBA 3E,1,0,1,0,54,1631,CA,CARLSBAD,92010
2023,3K TECHNOLOGIES LLC,0,0,1,0,54,4148,CA,MILPITAS,95035
2023,3QI LABS INC,1,0,3,0,54,7533,CA,SANTA CLARA,95054
2023,3S NETWORK INC,0,0,2,0,54,9275,CA,TUSTIN,92780
2023,3V SOURCEONE VENTURES FUND L P,0,0,1,0,52,8831,CA,SARATOGA,95070
2023,41ST PARAMETER INC,0,0,1,0,51,8748,CA,COSTA MESA,92626
2023,47 VENTURES LLC,1,0,0,0,54,1944,CA,BRENTWOOD,94513
2023,4D MOLECULAR THERAPEUTICS INC,0,0,2,0,54,6994,CA,EMERYVILLE,94608
2023,64-X INC,0,0,1,0,54,8795,CA,SAN FRANCISCO,94156
2023,6D BYTES INC D/B/A BLENDID,0,0,1,0,54,8517,CA,SUNNYVALE,94085
2023,6SENSE INSIGHTS INC,0,0,2,0,51,7906,CA,SAN FRANCISCO,94105
2023,8X8 INC,0,0,6,0,51,2404,CA,CAMPBELL,95008
2023,9EDGE INC,0,0,1,0,54,6205,CA,SANTA ANA,92707
2023,A & C TECHNOLOGY INC,0,0,2,0,54,9254,CA,NEWPORT BEACH,92660
2023,A 1 REHAB & RECRUITMENT SERVICES INC,1,0,1,0,62,8063,CA,FAIRFIELD,94534
2023,A 1 ROOF MANAGEMENT&CONSTRUCTION,1,0,0,0,23,3589,CA,SAN LEANDRO,94577
2023,A 1 TECHNOLOGY INC,0,0,1,0,54,3041,CA,AGOURA HILLS,91301
2023,A M FITZGERALD ASSOCIATES LLC,0,0,1,0,54,2439,CA,BURLINGAME,94010
2023,A PLUS ADULT DAY HEALTH CARE INC,1,0,1,1,62,1501,CA,BALDWIN PARK,91706
2023,A10 NETWORKS INC,1,0,4,1,54,6869,CA,SAN JOSE,95131
2023,A2B DEVELOPMENT LLC,1,0,0,0,23,5059,CA,LOOMIS,95650
2023,A5 LABS INC,1,0,0,0,51,1508,CA,FOSTER CITY,94404
2023,A52 LLC DBA ELASTIC,0,0,1,0,51,4576,CA,SANTA MONICA,90404
2023,AAA AMERICAN CPA INC,1,0,0,0,54,9763,CA,SAN JOSE,95117
2023,AAA TEXAS LLC,0,0,16,0,56,4740,CA,COSTA MESA,92626
2023,AABRAR INC DBA CASTRO VALLEY ANIMAL HOSPITAL,1,0,0,0,54,7621,CA,CASTRO VALLEY,94546
2023,AAXA TECHNOLOGIES INC,0,0,1,0,33,3275,CA,IRVINE,92614
2023,AB OVO INC,0,0,1,0,54,3754,CA,SANTA CLARA,95051
2023,AB STAR GROUP,0,0,0,1,54,6098,CA,FREMONT,94538
2023,ABACUS AI INC,0,0,4,0,54,7021,CA,SAN FRANCISCO,94105
2023,ABC ACCOUNTING AND TAX SERVICES,0,0,1,0,54,6652,CA,DIAMOND BAR,91765
2023,ABD INSURANCE AND FINANCIAL SERVICES INC,0,0,3,0,52,3528,CA,SAN FRANCISCO,94111
2023,ABENA NORTH AMERICA INC,0,0,1,0,32,5079,CA,SAN MARCOS,92069
2023,"ABI ENGINEERING CONSULTANTS, INC",0,0,1,0,54,1753,CA,SANTA ANA,92705
2023,ABINFOTECHNOLOGIES LLC,1,0,0,0,54,0337,CA,SANTA CLARITA,91350
2023,ABJAYON INC,1,0,0,0,54,3929,CA,FREMONT,94538
2023,ABNORMAL SECURITY CORPORATION,0,0,3,0,54,5983,CA,SAN FRANCISCO,94107
2023,ABOTTS CONSULTING INC,2,0,4,0,54,5920,CA,IRVINE,92606
2023,ABRAMSON ARCHITECTS INC,0,0,2,0,54,3468,CA,LOS ANGELES,90016
2023,ABSOLUTDATA TECHNOLOGIES INC.,0,0,2,0,54,6420,CA,ALAMEDA,94502
2023,ABSOLUTE GRAPHIC TECHNOLOGIES USA INC,0,0,1,0,54,3581,CA,CORONA,92879
2023,ABZOOBA INC,0,0,2,0,54,0116,CA,MILPITAS,95035
2023,AC WELLNESS NETWORK LLC,0,0,1,0,33,2410,CA,CUPERTINO,95014
2023,ACCELA INC,0,0,6,0,54,7678,CA,SAN RAMON,94583
2023,ACCELLOR INC,0,0,2,0,54,3408,CA,FREMONT,94538
2023,ACCESS BRAND MANAGEMENT USA INC,1,0,0,0,42,0607,CA,LOS ANGELES,90013
2023,ACCESS CITY OF HOPE LLC DBA ACCESSHOPE,0,0,1,0,62,8450,CA,DUARTE,91010
2023,ACCESS SERVICES,1,0,0,0,48,9711,CA,EL MONTE,91731
2023,ACCESSOS INC,0,0,1,0,51,7521,CA,SAN FRANCISCO,94104
2023,ACCRETE HITECH SOLUTIONS INC,0,0,1,0,54,4350,CA,SANTA CLARA,95054
2023,ACCUMULUS SYNERGY INC,0,0,1,0,54,0952,CA,BURLINGAME,94010
2023,ACCURATE BACKGROUND LLC,0,0,2,0,51,6904,CA,IRVINE,92618
2023,ACCURAY INCORPORATED,0,0,1,0,33,0041,CA,SUNNYVALE,94089
2023,ACCUTAX SERVICES INC,0,0,1,0,54,1386,CA,EL MONTE,91731
2023,ACE ACADEMIC PUBLISHING INC,0,0,1,0,51,8250,CA,DUBLIN,94568
2023,ACE TECHNOLOGIES INC,0,0,1,0,54,2576,CA,SAN JOSE,95131
2023,ACER AMERICA CORPORATION,1,0,0,0,33,7736,CA,SAN JOSE,95112
2023,ACG ENGINEERS INC,0,0,1,0,54,2423,CA,DALY CITY,94014
2023,ACG LLP,0,0,1,0,54,2404,CA,PLEASANTON,94588
2023,ACHIEVEKIDS,1,0,1,0,61,2221,CA,PALO ALTO,94303
2023,ACHRONIX SEMICONDUCTOR CORP,0,0,4,1,33,2651,CA,SANTA CLARA,95054
2023,ACKERMAN TECHNOLOGIES LLC,4,0,1,0,54,8933,CA,UNION CITY,94587
2023,ACME TECHNOLOGIES INC,1,0,0,0,54,2768,CA,SAN JOSE,95113
2023,ACNOVATE CORPORATION,4,1,3,1,54,5665,CA,SANTA CLARA,95054
2023,ACORN LABS INC,0,0,1,0,51,3078,CA,CUPERTINO,95014
2023,ACORNS GROW INCORPORATED,0,0,6,0,52,6397,CA,IRVINE,92617
2023,ACOSOLAR INC DBA ACOPOWER,0,0,1,0,42,1589,CA,WALNUT,91789
2023,ACTIONTEC ELECTRONICS INC,0,0,1,0,42,9385,CA,SANTA CLARA,95054
2023,ACTIVEHOURS INC DBA EARNIN,0,0,11,0,52,5567,CA,PALO ALTO,94306
2023,ACTIVISION BLIZZARD MEDIA LLC,0,0,2,0,54,2991,CA,SAN MATEO,94404
2023,ACTIVISION PUBLISHING INC,3,0,24,0,51,6438,CA,SANTA MONICA,90404
2023,ACUMEN LLC,0,0,1,0,51,8582,CA,BURLINGAME,94010
2023,ACUTUS MEDICAL INC,0,0,1,0,54,6615,CA,CARLSBAD,92008
2023,AD NET,0,0,2,0,54,7350,CA,LOS ANGELES,90067
2023,ADARA NETWORKS INC,0,0,1,0,54,6758,CA,SAN JOSE,95110
2023,ADDFORCE INC,0,0,1,0,54,6700,CA,CONCORD,94520
2023,ADEPT CHIP TECHNOLOGIES INC,3,0,1,0,54,1042,CA,SUNNYVALE,94085
2023,ADEPT CONSULTING GROUP INC,3,0,0,0,54,1134,CA,DANVILLE,94506
2023,"ADICET BIO, INC",0,0,2,0,54,1140,CA,REDWOOD CITY,94065
2023,ADIN TECHNOLOGIES INC,0,0,1,0,54,9673,CA,DUBLIN,94568
2023,ADISOLS LLC,15,0,0,0,54,8670,CA,FRESNO,93721
2023,ADITUM BIO MANAGEMENT CO LLC,0,0,1,0,51,9123,CA,OAKLAND,94607
2023,ADMEDES INC,0,0,0,1,33,7966,CA,LIVERMORE,94551
